"APC_confirmed_name","BioNet_assigned","BioNet_unassigned","EUCLID_checked","EUCLID_no_match"
"Eucalyptus kartzoffiana","Eucalyptus kartzoffiana","Eucalyptus kartzoffiana","Eucalyptus kartzoffiana",NA
"Eucalyptus kybeanensis","Eucalyptus kybeanensis","Eucalyptus kybeanensis","Eucalyptus kybeanensis",NA
"Eucalyptus lacrimans","Eucalyptus lacrimans","Eucalyptus lacrimans","Eucalyptus lacrimans",NA
"Eucalyptus laevopinea","Eucalyptus laevopinea","Eucalyptus laevopinea","Eucalyptus laevopinea",NA
"Eucalyptus langleyi","Eucalyptus langleyi","Eucalyptus langleyi","Eucalyptus langleyi",NA
"Eucalyptus apiculata","Eucalyptus laophila","Eucalyptus laophila","NA",NA
"Eucalyptus largeana","Eucalyptus largeana","Eucalyptus largeana","Eucalyptus largeana",NA
"Eucalyptus largiflorens","Eucalyptus largiflorens","Eucalyptus largiflorens","Eucalyptus largiflorens",NA
"Eucalyptus moorei subsp. moorei","Eucalyptus latiuscula","Eucalyptus latiuscula","Eucalyptus moorei subsp. moorei",NA
"Eucalyptus leptophylla","Eucalyptus leptophylla","Eucalyptus foecunda","Eucalyptus leptophylla",NA
"Eucalyptus leptophylla","Eucalyptus leptophylla","Eucalyptus leptophylla","Eucalyptus leptophylla",NA
"Eucalyptus leucoxylon subsp. pruinosa","Eucalyptus leucoxylon subsp. pruinosa","Eucalyptus leucoxylon","Eucalyptus leucoxylon subsp. pruinosa",NA
"Eucalyptus leucoxylon subsp. pruinosa","Eucalyptus leucoxylon subsp. pruinosa","Eucalyptus leucoxylon subsp. pruinosa","Eucalyptus leucoxylon subsp. pruinosa",NA
"Eucalyptus ligustrina","Eucalyptus ligustrina","Eucalyptus ligustrina","Eucalyptus ligustrina",NA
"Eucalyptus longifolia","Eucalyptus longifolia","Eucalyptus longifolia","Eucalyptus longifolia",NA
"Eucalyptus luehmanniana","Eucalyptus luehmanniana","Eucalyptus luehmanniana","Eucalyptus luehmanniana",NA
"Eucalyptus macarthurii","Eucalyptus macarthurii","Eucalyptus macarthurii","Eucalyptus macarthurii",NA
"Eucalyptus mackintii","Eucalyptus mackintii","Eucalyptus mackintii","Eucalyptus mackintii",NA
"Eucalyptus macrorhyncha","Eucalyptus macrorhyncha","Eucalyptus macrorhyncha","Eucalyptus macrorhyncha subsp. macrorhyncha",NA
